,risk_probability,drawdown_risk,regime
3725,0.08149792622481511,0,Calm
3726,0.08041241604615543,0,Calm
3727,0.10921643983731234,0,Calm
3728,0.12505914308519528,0,Calm
3729,0.15104054182900528,0,Calm
3730,0.12366090391121619,0,Calm
3731,0.10837304089353232,0,Calm
3732,0.0801668589072156,0,Calm
3733,0.0917633342661516,0,Calm
3734,0.15589905819621708,0,Calm
3735,0.2870596831044894,0,Calm
3736,0.26922696537773333,0,Calm
3737,0.2928771355400535,0,Calm
3738,0.22018990618935588,0,Calm
3739,0.18961519012368128,0,Calm
3740,0.15359664744138732,0,Calm
3741,0.17518184167075815,0,Calm
3742,0.1529436309198392,0,Calm
3743,0.21203082247434632,0,Calm
3744,0.14437988959984469,0,Calm
3745,0.13697270714038223,0,Calm
3746,0.15485499343689352,0,Calm
